date,region,channel,product_line,revenue,cost,orders,customers,ad_spend,returns
2023-01-01,华东,线上,A产品线,102000,68000,510,470,12000,11
2023-02-01,华东,线上,A产品线,108000,70500,540,492,12500,12
2023-03-01,华东,线上,A产品线,116000,74200,568,515,13100,13
2023-04-01,华东,线上,A产品线,121000,77600,590,534,13600,12
2023-05-01,华东,线上,A产品线,127500,81200,618,560,14200,14
2023-06-01,华东,线上,A产品线,133000,84500,645,583,14800,14
2023-07-01,华东,线上,A产品线,141500,89200,680,612,15300,15
2023-08-01,华东,线上,A产品线,146000,91800,701,628,15800,16
2023-09-01,华东,线上,A产品线,152500,95600,728,649,16100,15
2023-10-01,华东,线上,A产品线,160000,99600,760,676,16800,17
2023-11-01,华东,线上,A产品线,171000,104500,808,715,17500,19
2023-12-01,华东,线上,A产品线,186000,112800,870,768,18400,21
2024-01-01,华东,线上,A产品线,114000,74200,548,500,12600,12
2024-02-01,华东,线上,A产品线,121000,78000,576,523,13200,13
2024-03-01,华东,线上,A产品线,129500,81900,604,548,13800,14
2024-04-01,华东,线上,A产品线,136500,85800,632,571,14400,14
2024-05-01,华东,线上,A产品线,144000,89900,661,596,15000,15
2024-06-01,华东,线上,A产品线,151500,93800,688,620,15600,16
2024-07-01,华东,线上,A产品线,160500,98600,724,650,16200,17
2024-08-01,华东,线上,A产品线,166000,101500,748,670,16800,18
2024-09-01,华东,线上,A产品线,173500,105600,779,696,17100,18
2024-10-01,华东,线上,A产品线,182000,110000,814,724,17800,19
2024-11-01,华东,线上,A产品线,194500,118200,866,771,18600,21
2024-12-01,华东,线上,A产品线,212000,127900,938,834,19600,24
2025-01-01,华东,线上,A产品线,126000,81000,598,544,13400,13
2025-02-01,华东,线上,A产品线,134000,85200,628,570,14000,14
2025-03-01,华东,线上,A产品线,143500,89600,662,599,14600,15
2025-04-01,华东,线上,A产品线,151000,93800,690,623,15100,15
2025-05-01,华东,线上,A产品线,160000,98600,726,653,15800,16
2025-06-01,华东,线上,A产品线,168500,103200,762,684,16400,17
2025-07-01,华东,线上,A产品线,177500,108000,798,714,17100,18
2025-08-01,华东,线上,A产品线,184000,111500,824,736,17600,19
2025-09-01,华东,线上,A产品线,192500,116200,858,765,18100,19
2025-10-01,华东,线上,A产品线,202000,121500,895,798,18800,21
2025-11-01,华东,线上,A产品线,216000,130800,953,850,19700,23
2025-12-01,华东,线上,A产品线,235000,141600,1035,922,20800,26
